id,review,sentiment,topic
914,"Generally speaking, The technology stack is outdated and slow.",Negative,Technology
915,"Overall, Salary is average for the industry.",Neutral,Salary
916,"Overall, Excellent collaboration across teams.",Positive,Culture
917,"Generally speaking, Modern technology stack and useful tools.",Positive,Technology
918,"At times, Raises are small and infrequent.",Negative,Salary
919,"From my team’s perspective, The technology stack is a mix of old and new tools.",Neutral,Technology
920,"In my experience, Helpful perks like flexible hours and leave.",Positive,Perks
921,"In my experience, Perks are minimal compared to other companies.",Negative,Perks
922,"Overall, Modern technology stack and useful tools.",Positive,Technology
923,"At times, Helpful perks like flexible hours and leave.",Positive,Perks
924,"In my experience, Work culture feels stressful and inconsistent.",Negative,Culture
925,"In my experience, Excellent collaboration across teams.",Positive,Culture
926,"Generally speaking, Strong learning opportunities and skill growth.",Positive,Growth
927,"In my experience, Management is approachable and supportive.",Positive,Management
928,"For the most part, Compensation is acceptable for the role.",Neutral,Salary
929,"In some cases, Career growth is limited and unclear.",Negative,Growth
930,"In my experience, Great work culture with supportive teammates.",Positive,Culture
931,"For the most part, Helpful perks like flexible hours and leave.",Positive,Perks
932,"For the most part, Modern technology stack and useful tools.",Positive,Technology
933,"Overall, Clear opportunities to learn and advance.",Positive,Growth
934,"Generally speaking, The technology stack is outdated and slow.",Negative,Technology
935,"For the most part, Strong learning opportunities and skill growth.",Positive,Growth
936,"Generally speaking, Learning is available, but mostly self-driven.",Neutral,Growth
937,"In my experience, Work culture varies by team.",Neutral,Culture
938,"In some cases, Great work culture with supportive teammates.",Positive,Culture
939,"Compared with peers, Good performance bonuses and benefits.",Positive,Salary
940,"From my team’s perspective, Growth opportunities depend on the project.",Neutral,Growth
941,"From my team’s perspective, Career growth is limited and unclear.",Negative,Growth
942,"From my team’s perspective, Salary is average for the industry.",Neutral,Salary
943,"At times, Clear opportunities to learn and advance.",Positive,Growth
944,"Overall, Perks are standard and adequate.",Neutral,Perks
945,"Generally speaking, Growth opportunities depend on the project.",Neutral,Growth
946,"Generally speaking, Strong learning opportunities and skill growth.",Positive,Growth
947,"Overall, Work culture feels stressful and inconsistent.",Negative,Culture
948,"For the most part, Management style differs across departments.",Neutral,Management
949,"In some cases, Clear opportunities to learn and advance.",Positive,Growth
950,"Generally speaking, Modern technology stack and useful tools.",Positive,Technology
951,"Overall, Work culture varies by team.",Neutral,Culture
952,"From my team’s perspective, Salary is below market expectations.",Negative,Salary
953,"In some cases, Salary is competitive and fair.",Positive,Salary
954,"In some cases, Legacy systems make daily work harder.",Negative,Technology
955,"In my experience, Raises are small and infrequent.",Negative,Salary
956,"For the most part, Legacy systems make daily work harder.",Negative,Technology
957,"In my experience, Helpful perks like flexible hours and leave.",Positive,Perks
958,"For the most part, Career growth is limited and unclear.",Negative,Growth
959,"In my experience, Raises are small and infrequent.",Negative,Salary
960,"At times, Good performance bonuses and benefits.",Positive,Salary
961,"In some cases, Great work culture with supportive teammates.",Positive,Culture
962,"Overall, Clear opportunities to learn and advance.",Positive,Growth
963,"In my experience, Modern technology stack and useful tools.",Positive,Technology
964,"Overall, Modern technology stack and useful tools.",Positive,Technology
965,"From my team’s perspective, Management is approachable and supportive.",Positive,Management
966,"From my team’s perspective, Modern technology stack and useful tools.",Positive,Technology
967,"Overall, Work culture varies by team.",Neutral,Culture
968,"From my team’s perspective, Good performance bonuses and benefits.",Positive,Salary
969,"In my experience, Perks are minimal compared to other companies.",Negative,Perks
970,"Compared with peers, Legacy systems make daily work harder.",Negative,Technology
971,"For the most part, Clear opportunities to learn and advance.",Positive,Growth
972,"In my experience, Helpful perks like flexible hours and leave.",Positive,Perks
973,"At times, Work culture varies by team.",Neutral,Culture
974,"Overall, Salary is average for the industry.",Neutral,Salary
975,"At times, Salary is average for the industry.",Neutral,Salary
976,"In some cases, Management is approachable and supportive.",Positive,Management
977,"Overall, The technology stack is a mix of old and new tools.",Neutral,Technology
978,"At times, Raises are small and infrequent.",Negative,Salary
979,"Compared with peers, Good performance bonuses and benefits.",Positive,Salary
980,"Compared with peers, Great work culture with supportive teammates.",Positive,Culture
981,"For the most part, Salary is competitive and fair.",Positive,Salary
982,"Overall, Projects use modern cloud and automation tools.",Positive,Technology
983,"Generally speaking, Work culture varies by team.",Neutral,Culture
984,"Compared with peers, Perks are standard and adequate.",Neutral,Perks
985,"Overall, Excellent collaboration across teams.",Positive,Culture
986,"From my team’s perspective, Helpful perks like flexible hours and leave.",Positive,Perks
987,"Generally speaking, Growth opportunities depend on the project.",Neutral,Growth
988,"At times, Excellent collaboration across teams.",Positive,Culture
989,"At times, Some tools are modern while others are legacy.",Neutral,Technology
990,"Overall, Good performance bonuses and benefits.",Positive,Salary
991,"Overall, Management is approachable and supportive.",Positive,Management
992,"In some cases, Salary is average for the industry.",Neutral,Salary
993,"In my experience, Perks are standard and adequate.",Neutral,Perks
994,"In some cases, Strong learning opportunities and skill growth.",Positive,Growth
995,"For the most part, Salary is below market expectations.",Negative,Salary
996,"Overall, Work culture varies by team.",Neutral,Culture
997,"In some cases, Some tools are modern while others are legacy.",Neutral,Technology
998,"Generally speaking, Management style differs across departments.",Neutral,Management
999,"In my experience, Work culture varies by team.",Neutral,Culture
1000,"In my experience, Raises are small and infrequent.",Negative,Salary
